image_id,confidence,box_area,yolo_pred
0,0,0,0
1,0,0,0
2,0.6461,0.6217,1
3,0.3446,0.6174,1
5,0.7344,0.7004,1
6,0.9041,0.844,1
7,0.7195,0.845,1
10,0,0,0
16,0,0,0
21,0.7035,0.5685,1
23,0.5383,0.104,1
24,0,0,0
30,0,0,0
31,0,0,0
40,0.7272,0.6968,1
43,0.8388,0.6364,1
44,0.7414,0.7563,1
45,0.7167,0.7621,1
46,0.871,0.7723,1
47,0,0,0
48,0,0,0
49,0.831,0.7365,1
51,0.8481,0.7726,1
53,0.784,0.7675,1
55,0,0,0
56,0,0,0
60,0,0,0
63,0,0,0
73,0.7993,0.2904,1
74,0.279,0.4034,1
83,0.279,0.4034,1
84,0.7594,0.7498,1
85,0.7708,0.3169,1
86,0.729,0.7888,1
87,0.6989,0.6331,1
89,0.7296,0.5472,1
92,0.3521,0.0733,1
93,0.3456,0.0147,0
94,0,0,0
96,0.5454,0.8167,1
102,0,0,0
108,0,0,0
109,0,0,0
110,0,0,0
112,0.3753,0.7789,1
121,0,0,0
131,0.7748,0.5942,1
132,0.3673,0.7586,1
141,0.835,0.3861,1
143,0.421,0.4617,1
144,0.6541,0.2297,1
151,0.6411,0.3636,1
152,0.7917,0.5714,1
163,0.8482,0.2783,1
167,0,0,0
168,0.9601,0.5858,1
181,0,0,0
185,0.9013,0.2661,1
203,0.7899,0.3848,1
204,0,0,0
217,0,0,0
230,0.8484,0.5185,1
238,0,0,0
242,0,0,0
251,0.7155,0.5846,1
254,0.6806,0.4389,1
255,0,0,0
256,0.6713,0.3666,1
258,0.7261,0.1964,1
260,0.5268,0.2111,1
271,0.7567,0.5572,1
277,0.7063,0.5986,1
283,0,0,0
286,0,0,0
289,0.5746,0.5093,1
295,0.6991,0.5338,1
298,0.8015,0.641,1
300,0,0,0
308,0.8536,0.6231,1
309,0.7638,0.8106,1
311,0.7795,0.6737,1
320,0.8489,0.7094,1
325,0,0,0
337,0,0,0
342,0.6202,0.7048,1
344,0.7839,0.5688,1
349,0,0,0
351,0,0,0
361,0.6464,0.4272,1
365,0,0,0
370,0,0,0
443,0.4339,0.5059,1
484,0.6212,0.2678,1
487,0.9049,0.252,1
497,0,0,0
633,0.7612,0.4942,1
688,0,0,0
721,0,0,0
742,0,0,0
757,0.5218,0.356,1